score,max_tile,moves
176788,8192,7422
341472,16384,12903
361088,16384,13559
132344,8192,5544
364656,16384,13801
123912,8192,5121
284360,16384,10797
336448,16384,12614
322244,16384,12076
177328,8192,7467
13668,1024,835
166524,8192,6874
376600,16384,14324
156880,8192,6506
165848,8192,6848
166164,8192,6837
157024,8192,6488
332216,16384,12425
177408,8192,7482
80672,4096,3766
290284,16384,11147
364920,16384,13818
364744,16384,13858
248276,16384,9400
171152,8192,7060
203784,8192,8047
338440,16384,12780
176200,8192,7357
157448,8192,6594
245752,16384,9278
176732,8192,7366
177316,8192,7458
246200,16384,9325
130232,8192,5435
246036,16384,9344
359632,16384,13586
132884,8192,5573
80460,4096,3713
283152,16384,10947
342996,16384,13056
79796,4096,3683
124108,8192,5117
341336,16384,12886
60172,4096,2783
333764,16384,12575
177384,8192,7463
169848,8192,7085
338592,16384,12824
336708,16384,12642
116384,8192,4870
174520,8192,7257
152660,8192,6240
266532,16384,10041
174892,8192,7286
168172,8192,6997
157716,8192,6563
246312,16384,9337
329060,16384,12229
244440,16384,9218
376192,16384,14287
164292,8192,6764
242028,16384,9070
287548,16384,10944
341036,16384,12902
177372,8192,7479
367284,16384,14012
176984,8192,7430
173440,8192,7268
166456,8192,6869
290140,16384,11148
152344,8192,6222
280780,16384,10663
290368,16384,11150
351748,16384,13376
223704,16384,8227
157172,8192,6503
171748,8192,7113
175168,8192,7265
176412,8192,7410
246908,16384,9375
131232,8192,5500
269576,16384,10174
176992,8192,7432
123712,8192,5114
380804,16384,14515
177196,8192,7429
376436,16384,14333
338680,16384,12764
288864,16384,11094
157192,8192,6525
275292,16384,10459
167640,8192,6949
132208,8192,5533
368736,16384,14066
145476,8192,5855
340012,16384,12796
365176,16384,13849
171808,8192,7142
175508,8192,7332
171212,8192,7094
270120,16384,10234
153164,8192,6286
277516,16384,10575
173308,8192,7243
173016,8192,7202
255120,16384,9762
337200,16384,12722
381376,16384,14511
149060,8192,6099
76360,4096,3474
289596,16384,11081
361176,16384,13578
277952,16384,10523
338916,16384,12807
342872,16384,13013
171468,8192,7102
176532,8192,7396
148272,8192,6088
176404,8192,7353
376476,16384,14337
156124,8192,6435
269692,16384,10207
337956,16384,12664
157484,8192,6555
176336,8192,7393
60064,4096,2771
148444,8192,6251
279068,16384,10690
32156,2048,1636
168304,8192,6986
364684,16384,13786
328892,16384,12267
171500,8192,7107
334428,16384,12626
172932,8192,7181
243780,16384,9161
80352,4096,3703
176700,8192,7416
174788,8192,7293
278396,16384,10521
329980,16384,12351
156528,8192,6482
237584,16384,8905
290508,16384,11185
176288,8192,7384
338928,16384,12803
37504,2048,1931
335520,16384,12647
366884,16384,13940
288096,16384,11032
290460,16384,11174
68240,4096,3104
73256,4096,3384
270636,16384,10240
142196,8192,5708
174780,8192,7275
168340,8192,7008
75416,4096,3431
346436,16384,13184
177184,8192,7426
255152,16384,9770
333788,16384,12522
129100,8192,5373
80472,4096,3733
153168,8192,6281
275372,16384,10338
299992,16384,11568
285688,16384,10922
288876,16384,11076
56564,4096,2585
288748,16384,11072
167368,8192,6897
357364,16384,13433
364756,16384,13808
133068,8192,5615
366304,16384,13927
354476,16384,13287
289892,16384,11098
38012,2048,2010
338032,16384,12810
369808,16384,14099
246148,16384,9312
80284,4096,3724
176572,8192,7384
342312,16384,12984
132624,8192,5555
168056,8192,6946
256772,16384,9526
341272,16384,12950
132916,8192,5581
193072,8192,8130
383188,16384,14654
163764,8192,6803
177292,8192,7481
378120,16384,14401
337508,16384,12749
281116,16384,10692
276076,16384,10375
33544,2048,1730
322020,16384,12025
246176,16384,9315
290472,16384,11173
363624,16384,13805
174908,8192,7299
289184,16384,11110
177216,8192,7446
270896,16384,10314
151224,8192,6185
50620,4096,2279
157060,8192,6528
17048,1024,1028
153144,8192,6509
