episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
312000,6025.1,252135.4,507980,506146,99.6500,98.9500,96.7000,91.0500,61.9500,0.1000,204920.11,411.89
314000,6063.5,252399.6,407424,506172,99.6500,99.4000,97.0000,90.9000,62.1500,0.0000,204731.47,412.88
316000,6101.1,251920.4,498000,506249,99.7000,98.9000,96.4500,90.1500,62.7000,0.0500,204468.47,418.40
318000,6139.2,255205.2,554280,506322,99.6000,98.7500,97.1000,91.6000,64.0000,0.1000,204494.59,415.77
320000,6177.0,254021.2,433920,506398,99.9000,99.1000,96.7500,90.9000,63.9000,0.0000,204669.71,414.46
322000,6215.3,257630.8,525896,506483,99.8000,99.0000,97.6500,91.5000,65.3500,0.0500,204421.34,414.83
324000,6254.3,253745.7,480072,506464,99.7500,99.1000,96.6000,90.9000,64.1500,0.0500,204868.15,414.22
326000,6293.6,253619.8,388376,506421,99.8000,99.1500,97.3000,90.3500,63.2500,0.0000,204787.10,414.26
328000,6333.0,253814.2,523668,506373,99.7000,99.0000,96.9500,91.6500,62.7000,0.1000,204800.95,413.95
330000,6372.8,258186.2,522708,506345,99.8500,99.4500,97.6000,91.9500,64.2000,0.0500,204406.64,414.99
332000,6411.7,251707.3,472912,506314,99.8000,98.9000,97.0500,90.8500,61.6500,0.1000,204750.94,419.81
334000,6450.4,253486.0,387580,506311,99.8000,99.2000,97.1500,91.5000,63.0000,0.0000,204943.82,414.18
336000,6489.2,252266.8,562220,506296,99.7500,99.4000,96.5000,90.5000,62.5000,0.1500,205039.27,410.89
338000,6528.3,254928.4,555532,506284,99.7000,98.8500,97.3500,90.9000,63.1500,0.1500,204528.52,416.48
340000,6567.2,254324.3,581076,506281,99.5000,98.7000,97.0000,91.3500,63.4500,0.1500,204940.16,414.35
342000,6605.9,255460.8,488064,506303,99.7500,99.0500,97.5000,90.6500,63.7500,0.0500,204618.65,414.34
344000,6644.5,253506.3,524464,506313,99.8500,99.3000,96.9500,90.4000,63.4500,0.1000,204907.24,413.58
346000,6682.7,252197.1,524340,506343,99.9000,99.0500,96.7000,89.9500,63.2500,0.1000,205291.29,411.56
348000,6721.0,251691.6,488544,506358,99.8500,99.4000,96.7500,90.6000,61.8000,0.1000,205002.34,413.90
350000,6760.1,255881.2,532736,506351,99.8000,98.9000,96.9500,91.2500,63.9000,0.1000,204833.66,416.37
352000,6798.2,249801.6,488564,506362,99.7500,98.8000,96.6500,91.5500,60.6000,0.0500,205517.10,414.30
354000,6838.2,255000.9,530828,506285,99.8500,99.0000,97.2500,91.0500,63.6000,0.2000,204799.23,415.52
356000,6877.6,256340.1,509956,506263,99.7500,99.3500,97.1000,91.4000,64.7000,0.0500,204653.08,417.64
358000,6916.4,256100.8,528552,506288,99.9000,99.5500,97.1500,91.3000,63.4000,0.1000,204832.26,412.44
360000,6954.7,254547.1,387452,506332,99.8500,99.0500,97.7500,91.8500,62.7500,0.0000,205136.88,413.24
362000,6992.7,254135.5,509732,506395,99.7500,98.9500,96.5000,91.1000,62.7000,0.0500,204969.42,415.89
364000,7031.0,252751.8,487384,506423,99.6500,98.6000,96.1500,90.5500,62.3000,0.0500,205015.33,415.08
366000,7069.5,255410.0,530836,506459,99.8000,99.3500,97.1000,91.6500,63.7000,0.1000,205191.95,413.87
368000,7108.5,252647.1,410388,506435,99.8000,98.8500,96.3500,90.3500,63.1500,0.0000,204974.36,416.02
370000,7146.1,249153.4,518100,506470,99.7000,98.8500,96.4000,90.3500,60.9000,0.0500,205555.93,415.79
372000,7185.1,257393.3,490340,506488,99.9000,99.2000,97.3500,91.8000,65.0000,0.1000,204850.53,414.85
374000,7223.4,252290.5,388456,506506,99.9000,98.9000,96.5500,89.4500,62.9000,0.0000,205063.02,415.47
376000,7261.9,254218.1,388220,506529,99.9000,99.2000,96.8500,90.9500,63.8000,0.0000,205302.89,414.15
378000,7299.9,251266.1,387248,506560,99.7500,99.0500,96.6500,90.8500,61.8500,0.0000,205385.75,413.93
380000,7337.5,250624.8,407908,506612,99.8000,99.2500,97.6500,90.5500,62.4500,0.0000,205898.16,413.67
382000,7376.1,255088.7,486032,506634,99.7000,99.1500,97.1500,92.0000,63.3500,0.0500,205259.40,415.94
384000,7414.7,252578.3,505508,506633,99.8500,98.9500,96.8000,91.2500,62.5500,0.1000,205310.03,415.79
386000,7452.7,252957.9,544412,506676,99.5500,99.1000,96.7500,90.6000,62.5000,0.1000,204908.97,418.90
388000,7491.9,253552.1,468072,506649,99.8000,98.9500,97.1000,90.9000,62.4500,0.0500,205012.29,415.51
390000,7529.9,251144.9,531492,506673,99.8500,99.2000,96.6000,89.9500,62.3500,0.0500,205659.18,411.91
392000,7567.4,248916.3,480368,506712,99.5500,98.7500,96.7500,90.0500,61.0500,0.0500,206010.08,413.88
394000,7605.8,252000.1,554848,506720,99.8500,99.3000,97.1500,90.7500,62.3500,0.0500,205359.41,416.50
396000,7644.2,252951.5,529484,506738,99.6000,98.8000,96.8500,91.2000,62.4000,0.1000,205272.37,415.38
398000,7681.7,251172.2,521640,506797,99.7000,99.2500,97.2000,90.5000,61.4500,0.1500,205694.48,413.94
400000,7718.7,245964.1,386684,506837,99.7500,99.0500,95.7500,89.0500,60.0000,0.0000,205776.12,415.96
402000,7756.8,254412.7,571888,506887,99.5500,99.0000,97.0500,90.6500,63.7500,0.1500,205301.38,414.53
404000,7794.6,251630.3,480356,506925,99.6000,98.9000,97.0000,90.5500,62.0500,0.0500,205710.22,416.82
406000,7833.3,252614.2,510684,506919,99.6000,98.7500,96.2000,90.7500,63.7000,0.1000,205724.54,414.29
408000,7871.9,251595.3,536760,506906,99.7000,99.0000,96.3500,90.0500,62.1500,0.1500,205582.56,418.84
410000,7910.2,253832.3,386540,506936,99.7500,99.1000,97.0000,91.0000,63.4500,0.0000,205449.09,417.59
412000,7948.0,250638.2,489212,506964,99.8500,99.0000,96.8500,90.4000,61.6500,0.0500,205757.36,414.36
414000,7986.0,252268.5,451368,507002,99.6500,98.8000,96.6500,90.4000,62.4000,0.0000,205650.67,415.63
416000,8024.2,252908.3,522716,507027,99.7500,99.1000,96.8000,90.8500,62.5000,0.1000,205402.68,418.42
418000,8062.0,249490.1,528316,507045,99.9000,99.1500,96.5000,89.9000,61.7500,0.1000,206102.13,415.54
420000,8100.3,253054.2,405192,507067,99.7000,99.2000,96.7500,90.4000,63.9500,0.0000,205461.02,416.58
422000,8138.7,253593.5,555796,507083,99.4500,98.7500,96.4500,90.9000,63.0500,0.1000,205517.13,415.54
424000,8176.6,251928.9,410612,507123,99.8000,99.2000,97.1500,90.5000,61.5500,0.0000,205773.76,412.60
426000,8215.2,253452.8,387244,507129,99.8000,99.0500,96.6500,91.2000,63.4000,0.0000,205890.61,412.41
428000,8253.3,254066.3,387192,507167,99.8000,99.2000,96.6000,90.1000,63.7500,0.0000,205411.82,413.42
430000,8291.6,254535.1,508920,507202,99.9000,99.2500,96.9000,90.5000,63.4000,0.0500,205320.14,417.71
432000,8330.8,257725.3,527304,507209,99.7500,99.1000,97.5500,92.6000,64.3500,0.1000,205531.61,414.60
434000,8369.3,253259.4,487148,507218,99.9000,99.1000,96.4000,90.6500,63.2500,0.0500,205585.46,416.28
436000,8407.9,252139.1,391424,507205,99.6000,98.7000,96.7500,90.4000,62.7000,0.0000,205942.41,413.47
438000,8446.3,254185.5,526844,507233,99.6500,98.8000,96.6000,91.3500,62.5000,0.1000,205674.72,413.60
440000,8484.3,255427.5,467008,507288,99.7000,99.3000,97.1000,91.5000,63.5500,0.0500,205660.54,416.49
442000,8523.0,255112.9,469060,507303,99.7000,98.9000,96.9000,91.8000,63.6500,0.0500,205740.32,414.99
444000,8561.4,252759.4,389192,507309,99.8500,99.2000,96.9500,89.6000,63.7500,0.0000,205864.36,416.75
446000,8599.7,254506.4,412924,507343,99.8000,99.0000,97.0500,90.5500,63.1500,0.0000,205479.28,418.43
448000,8637.4,252115.7,388020,507385,99.7000,98.9000,96.8000,90.0500,62.8000,0.0000,206098.69,414.65
450000,8675.4,248895.0,527828,507387,99.6500,99.0000,96.7500,90.5000,60.3000,0.1000,206559.97,414.12
452000,8714.4,254912.1,387288,507379,99.9500,99.3000,97.0000,90.7000,64.3500,0.0000,205922.70,415.81
454000,8754.1,256944.7,547432,507349,99.7000,98.7000,97.0000,90.9000,64.4500,0.0500,205527.93,415.48
456000,8792.5,253562.5,531484,507366,99.5000,98.9000,96.9000,90.8000,63.0500,0.1500,205718.03,419.28
458000,8830.6,253465.9,489476,507396,99.7500,99.0000,97.0000,91.7500,62.6000,0.0500,206351.40,412.44
460000,8869.4,254992.0,532576,507402,99.6500,99.2000,97.7000,91.5000,63.5000,0.1500,205844.41,418.86
462000,8907.8,253349.7,509236,507416,99.5500,98.5500,96.4000,91.4000,63.3000,0.0500,206086.67,413.80
464000,8946.4,254497.6,387320,507428,99.6500,99.2500,97.0000,90.9500,63.2000,0.0000,206034.34,414.20
466000,8985.4,252315.2,387232,507396,99.7000,99.2000,97.0000,91.6500,61.7000,0.0000,206138.64,417.86
468000,9025.4,257227.2,387132,507355,99.7500,99.2500,97.3000,92.1500,64.1500,0.0000,205960.40,414.41
470000,9065.0,255265.8,534900,507313,99.7000,99.1500,97.6000,91.1500,63.5000,0.1500,206018.94,417.09
472000,9104.8,255547.4,473560,507267,99.9000,99.1500,97.6000,91.8000,63.9500,0.0500,206047.63,416.54
474000,9144.9,255998.4,508924,507208,99.7500,99.3000,97.4000,92.6000,63.9500,0.0500,206393.50,412.41
476000,9185.0,256764.5,387308,507157,99.7000,99.0000,96.9000,91.5000,64.9000,0.0000,206105.09,415.72
