episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
282000,2878.8,245590.7,532368,927577,99.6000,98.9000,96.5500,90.4000,58.1500,0.0500,188372.80,405.33
284000,2899.6,243397.5,536472,927446,99.8500,99.1000,96.7500,90.1000,56.4500,0.0500,188728.19,403.77
286000,2920.3,245371.1,492516,927429,99.7500,98.9500,97.0000,91.0500,57.9000,0.0500,188540.52,404.32
288000,2941.2,245728.3,512144,927317,99.7000,99.1000,96.5000,90.0500,57.6500,0.1000,188698.29,402.15
290000,2962.4,247985.2,531872,927203,99.5500,99.1000,96.5500,90.0000,59.8500,0.1000,188343.90,403.80
292000,2983.3,244392.8,508564,927085,99.6500,98.8500,95.9500,88.8500,57.9500,0.0500,188457.43,406.89
294000,3003.7,239073.1,504264,926967,99.7500,99.0000,95.4500,87.4000,56.3500,0.0500,188901.21,405.38
296000,3024.2,239977.0,522972,926872,99.4000,98.6000,95.8000,87.5500,56.2500,0.0500,188700.56,405.71
298000,3044.9,240395.4,387712,926704,99.5500,99.0000,96.6000,89.5000,56.0000,0.0000,189111.80,404.93
300000,3065.8,243785.6,533772,926574,99.6000,98.7000,96.2500,89.1500,57.8000,0.0500,188818.64,405.24
302000,3086.5,243643.6,571220,926520,99.7000,98.9500,97.3500,89.0000,57.9500,0.2500,188878.49,404.92
304000,3106.9,243814.3,524176,926521,99.8000,99.0500,96.5500,88.7000,57.9500,0.1500,188680.61,406.59
306000,3127.8,243999.8,533608,926423,99.9500,99.1500,97.1500,89.1500,57.6000,0.0500,188779.77,405.46
308000,3148.6,245795.5,503748,926365,99.8000,98.8500,96.7000,88.8000,59.3000,0.0500,188551.31,406.65
310000,3169.2,243473.7,436128,926327,99.6500,98.7000,96.2000,88.9000,57.7000,0.0000,188777.57,408.76
312000,3189.7,242323.2,421848,926281,99.5500,98.7000,95.9500,88.5500,57.4000,0.0000,189117.91,403.26
314000,3210.6,244601.6,501376,926159,99.7500,99.2500,97.2000,89.2000,58.8500,0.0500,189220.12,404.10
316000,3231.4,243801.6,388180,926095,99.7500,98.9500,96.3000,89.1500,58.3500,0.0000,189339.03,402.36
318000,3252.2,247799.9,477940,926073,99.8000,99.2000,96.7500,89.9000,60.5000,0.0500,189070.63,403.37
320000,3272.9,243701.4,387364,926020,99.6500,99.0000,96.3500,88.7500,57.8500,0.0000,189249.77,403.49
322000,3293.5,242558.4,386564,925962,99.8000,99.2500,96.2500,89.3000,56.7500,0.0000,189194.27,404.22
324000,3314.3,242047.2,387236,925842,99.8000,99.0500,96.3500,89.5500,57.1000,0.0000,189371.11,407.77
326000,3335.5,248132.1,387452,925731,99.6500,99.0500,97.7000,90.4500,59.5500,0.0000,189060.27,404.27
328000,3356.2,244776.1,386728,925678,99.8000,99.0500,96.7000,89.1500,58.4500,0.0000,189276.47,405.02
330000,3376.7,242412.6,387536,925648,99.5000,98.5000,96.2000,89.4500,57.7500,0.0000,189780.96,405.31
332000,3397.4,246939.4,410148,925677,99.8000,99.3500,97.3500,90.3000,59.2000,0.0000,189133.20,405.33
334000,3418.0,245208.2,507260,925668,99.8500,98.9500,95.9500,89.1500,59.2000,0.1000,189275.50,403.62
336000,3438.3,243952.2,571656,925700,99.8000,98.8500,96.1000,89.0000,57.9000,0.0500,189207.81,407.15
338000,3458.8,243075.9,479096,925704,99.7500,98.8500,96.6000,89.9500,57.1000,0.0500,189585.79,408.80
340000,3479.5,245757.6,488560,925689,99.7500,98.8000,97.0500,90.0000,58.7500,0.0000,189542.07,403.33
342000,3500.0,246224.9,387408,925719,99.7000,98.9500,96.0500,89.3500,59.7500,0.0000,189099.78,408.42
344000,3520.6,245818.3,387388,925734,99.8500,98.8500,96.4000,88.8000,58.4500,0.0000,189277.91,402.40
346000,3541.3,244497.4,458372,925708,99.8500,98.8000,96.8500,89.1000,57.9500,0.0500,189363.03,407.70
348000,3562.0,245553.9,512604,925682,99.7500,98.6500,96.4500,89.6500,58.7500,0.0500,189398.45,408.42
350000,3582.8,246225.2,388596,925647,99.7000,99.0000,97.1500,90.0500,59.1000,0.0000,189461.73,407.39
352000,3603.5,247135.3,564724,925640,99.7000,98.6000,96.2000,89.3500,59.8500,0.1500,189280.62,405.53
354000,3624.1,241528.1,388808,925570,99.6000,98.9500,96.7500,90.1000,57.3500,0.0000,190499.13,404.26
356000,3645.2,250892.8,536748,925554,99.9000,99.2000,97.3000,90.3500,60.7500,0.0500,189075.33,404.29
358000,3666.0,245150.8,387340,925514,99.8000,99.1000,96.7500,89.0000,58.8000,0.0000,189857.23,402.25
360000,3686.8,247832.4,387192,925502,99.7000,99.0000,96.7000,91.0500,59.4000,0.0000,189544.36,405.45
362000,3707.4,243901.7,565004,925481,99.7500,98.9500,96.4500,89.1500,57.6000,0.1000,189876.69,403.92
364000,3728.0,245356.2,480016,925488,99.6500,98.9500,96.3000,88.9000,58.6500,0.0500,189684.78,406.06
366000,3748.7,244683.1,482484,925454,99.6000,98.9000,96.8000,89.3500,57.9500,0.1000,189539.56,405.88
368000,3769.4,244647.4,574900,925418,99.7000,98.8000,96.5500,89.2500,58.5500,0.0500,189956.43,402.92
370000,3789.9,245862.6,468028,925456,99.7000,98.9000,96.1000,90.1000,59.6500,0.1000,190022.78,404.04
372000,3810.1,242312.7,411300,925496,99.4000,98.8000,96.6000,89.1500,57.0500,0.0000,190258.67,402.15
374000,3830.7,243275.3,386856,925453,99.8000,98.8000,96.7000,89.2000,57.1000,0.0000,189872.65,407.65
376000,3851.6,246224.6,387020,925416,99.7500,99.2000,95.8000,89.5000,59.7500,0.0000,190088.50,404.99
378000,3872.3,245742.1,508696,925388,99.7500,99.1000,96.8000,89.7500,58.8000,0.0500,189962.55,407.50
380000,3893.1,244639.8,484516,925340,99.7000,98.5000,96.1000,90.5500,57.8000,0.0500,190330.93,400.42
382000,3913.7,248596.2,579784,925406,99.8500,99.1000,97.5500,90.5500,59.9500,0.0500,190034.12,401.06
384000,3934.2,245350.2,457288,925424,99.7500,99.0500,96.6000,89.5000,59.1500,0.0500,190328.86,404.74
386000,3954.8,246514.2,533168,925454,99.7500,98.9000,96.4000,90.0500,59.3000,0.1000,190086.93,405.03
388000,3975.1,243914.4,407756,925500,99.6500,98.8500,96.2500,90.3500,58.0500,0.0000,190508.69,404.09
390000,3995.7,246186.7,387396,925503,99.7000,99.1000,97.2500,90.8500,59.3000,0.0000,190562.87,404.00
392000,4016.1,243157.4,387468,925515,99.7000,98.7000,96.1000,89.7500,56.8500,0.0000,190375.94,406.75
394000,4036.8,245788.8,580988,925523,99.8500,98.9000,96.9500,90.8500,57.9000,0.1000,190352.72,404.59
396000,4057.5,246387.6,534660,925522,99.7000,98.9500,96.5000,89.3500,58.7500,0.0500,190177.95,408.75
398000,4078.2,248550.5,520568,925542,99.7000,99.2500,96.9500,89.9000,59.7500,0.1000,190039.50,407.38
400000,4099.0,245101.6,387544,925508,99.6000,98.8000,96.5500,89.1500,59.4500,0.0000,190553.63,402.34
402000,4119.4,245040.4,423188,925537,99.7500,99.0000,97.0000,89.6500,57.6500,0.0000,190403.22,402.74
404000,4140.0,244701.8,470124,925538,99.9000,99.3500,96.8500,89.1500,58.3500,0.0500,190340.99,410.90
406000,4160.4,242322.5,386272,925525,99.7500,99.1000,96.9000,90.0500,58.0000,0.0000,191155.30,402.36
408000,4180.8,243343.9,512416,925536,99.6000,98.7500,96.0000,88.5500,57.2500,0.1000,190183.85,409.06
410000,4201.4,244986.5,387448,925539,99.6500,98.9500,96.3500,89.6500,58.0000,0.0000,190605.25,405.01
412000,4221.4,241832.1,584232,925616,99.8000,99.0000,96.5500,89.0000,56.5500,0.0500,190660.17,409.53
414000,4242.1,248800.1,484312,925653,99.7000,99.0500,96.8500,89.4500,61.6000,0.0500,190489.05,404.54
416000,4262.6,245849.8,387544,925675,99.7000,99.0000,96.3500,88.8000,58.6000,0.0000,190287.75,410.00
418000,4283.3,248162.8,513240,925711,99.7500,98.8500,96.3000,90.5500,59.5000,0.0500,190355.00,404.48
420000,4304.1,245552.3,428032,925677,99.7500,99.2500,96.9000,89.6500,58.5500,0.0000,190684.37,406.47
422000,4324.8,245067.5,556180,925650,99.6500,98.7500,95.8500,89.1500,58.8500,0.1000,190508.52,405.21
424000,4345.4,243143.3,489044,925616,99.6500,98.9000,95.9500,89.1500,57.3000,0.0500,190951.09,404.36
426000,4365.9,243813.8,609084,925598,99.6500,98.9000,96.0000,89.6000,58.6000,0.0500,190642.48,407.41
428000,4386.8,248213.1,513140,925597,99.6000,99.0500,97.2000,89.9000,60.0000,0.1000,190586.01,408.21
430000,4407.5,245621.0,405740,925585,99.8000,99.2500,97.2000,90.3000,57.6000,0.0000,190794.69,407.27
432000,4427.7,243550.9,419980,925629,99.5500,98.6000,96.2000,89.5000,58.1500,0.0000,191031.33,406.65
434000,4448.2,246332.7,486584,925674,99.8500,98.8000,96.9500,90.0500,59.3500,0.0500,190831.98,406.90
436000,4468.8,246384.1,544756,925684,99.4500,98.8000,96.8000,88.6000,60.4500,0.0500,190788.19,409.01
438000,4489.5,246144.9,399232,925688,99.6500,99.0500,96.5000,88.9500,58.4500,0.0000,190725.92,406.21
440000,4510.1,247845.1,411180,925731,99.8500,99.2000,96.8500,90.3500,59.7000,0.0000,190876.90,406.11
