episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
240000,7472.0,260735.5,455680,242291,99.6951,98.9837,96.7480,91.9715,66.1585,0.0000,211872.60,395.79,119775,428,65536
242000,7535.3,263296.1,387148,242266,99.3151,98.8258,96.5753,91.3894,67.8082,0.0000,211321.49,391.09,120753,431,65536
244000,7598.6,267731.1,518316,242245,99.5980,98.9950,96.6834,91.8593,69.2462,0.1005,210546.45,398.82,121758,440,65536
246000,7661.4,262839.8,387620,242214,99.8996,99.1968,97.0884,92.2691,66.2651,0.0000,211415.24,395.51,122762,443,65536
248000,7723.0,265184.0,385656,242208,99.5851,99.2739,96.8880,91.9087,67.6349,0.0000,210926.21,397.40,123798,447,65536
250000,7785.5,261104.5,388208,242185,99.7990,99.0955,97.1859,92.6633,66.8342,0.0000,212163.01,390.67,124803,454,65536
252000,7848.4,261361.4,450500,242162,99.7009,99.4018,97.5075,92.2233,65.3041,0.0000,211440.29,397.94,125800,458,65536
254000,7912.2,262384.2,386176,242137,99.8086,99.0431,97.6077,92.1531,66.2201,0.0000,211666.18,395.43,126755,459,65536
256000,7975.3,268814.0,512676,242120,99.7961,99.2864,98.0632,93.5780,69.5209,0.2039,210645.51,402.33,127774,464,65536
258000,8037.8,262879.6,489780,242080,99.5897,98.8718,97.0256,91.4872,67.4872,0.2051,211288.18,398.96,128799,467,65536
260000,8102.0,266538.1,580348,242043,100.0000,99.5010,98.2036,93.8124,67.4651,0.0998,211586.91,389.18,129797,473,65536
262000,8165.1,265978.0,503044,242027,99.7006,99.1018,97.0060,91.6168,69.6607,0.0998,211029.31,396.71,130795,478,65536
264000,8229.5,271082.7,555940,242005,99.9030,99.4180,98.2541,94.1804,68.7682,0.0970,210363.33,394.80,131764,483,65536
266000,8291.3,261973.8,387084,241989,99.6929,98.7718,97.3388,91.8117,66.9396,0.0000,211724.95,390.41,132787,484,65536
268000,8354.1,266369.4,387052,241980,99.8018,99.5045,97.5223,93.0624,68.5828,0.0000,211177.23,395.79,133778,486,65536
270000,8416.8,268014.5,563308,241990,99.6082,99.0206,97.8452,93.1440,69.5397,0.0979,210912.45,397.31,134757,489,65536
272000,8480.0,267651.4,385804,241995,100.0000,99.7115,98.3654,93.3654,69.2308,0.0000,211096.63,397.45,135717,494,65536
274000,8545.2,268955.9,387472,241940,99.8035,99.5088,97.4460,93.1238,69.4499,0.0000,211006.00,394.13,136699,495,65536
276000,8607.6,264880.4,386736,241929,99.8983,99.3896,97.4568,92.2686,68.8708,0.0000,211493.28,391.08,137716,497,65536
278000,8667.1,265272.6,386108,241979,99.7930,99.2754,97.2050,93.1677,67.7019,0.0000,211161.49,394.65,138750,500,65536
280000,8728.4,265844.7,405740,242021,99.8037,99.2149,97.1541,92.4436,68.5967,0.0000,211470.49,390.92,139731,504,65536
282000,8789.3,262384.2,386396,242073,99.7079,98.9289,96.2999,91.1392,66.5044,0.0000,210806.77,396.30,140704,504,65536
284000,8849.8,265624.4,386496,242126,99.8030,99.3103,97.0443,91.9212,68.9655,0.0000,211276.17,392.46,141689,508,65536
286000,8910.1,259559.5,387000,242182,99.8084,99.0421,97.1264,91.9540,65.3257,0.0000,211719.92,392.81,142645,509,65536
288000,8969.5,257491.6,390168,242228,99.8000,99.0000,96.0000,91.3000,64.9000,0.0000,211836.33,399.43,143645,509,65536
290000,9029.6,264800.6,528468,242298,99.9021,99.4123,96.8658,92.1645,68.2664,0.1959,210800.80,396.33,144624,510,65536
292000,9088.0,268292.6,386976,242393,99.6904,99.0712,97.6264,92.1569,69.8658,0.0000,210460.52,394.18,145655,513,65536
294000,9146.9,265494.1,386228,242466,99.5893,99.0760,97.1253,92.2998,68.6858,0.0000,210965.56,397.98,146681,516,65536
296000,9206.6,262857.5,386644,242507,99.5939,99.3909,97.0558,92.5888,66.9036,0.0000,211576.51,391.71,147696,518,65536
298000,9267.5,264756.0,387236,242551,99.8014,99.2056,97.4181,91.7577,67.0308,0.0000,210692.54,394.43,148689,521,65536
300000,9328.4,266628.3,523416,242574,99.8984,99.6951,97.7642,93.4959,67.7846,0.1016,210863.55,395.26,149705,524,65536
302000,9390.4,258854.2,513804,242556,99.9016,98.9173,96.7520,91.6339,65.2559,0.0984,211779.29,394.35,150689,525,65536
304000,9454.5,264812.5,386856,242533,99.9052,99.7156,98.1991,92.5118,67.5829,0.0000,211262.18,393.50,151634,526,65536
306000,9517.1,269706.0,504008,242522,99.7936,98.8648,96.8008,90.9185,70.1754,0.1032,210091.81,391.72,152665,527,65536
308000,9577.9,261114.4,387388,242526,99.5918,99.0816,96.4286,91.1224,66.5306,0.0000,211294.74,393.84,153685,534,65536
310000,9640.3,259279.3,524840,242515,99.9026,99.3184,96.9815,91.3340,64.6543,0.1947,211583.57,396.19,154658,536,65536
312000,9705.7,271222.6,587928,242460,99.7000,99.1000,97.5000,93.2000,70.5000,0.3000,210408.16,393.89,155658,539,65536
314000,9769.1,265867.3,507660,242412,99.5825,99.1649,97.4948,91.7537,68.7891,0.1044,210858.62,395.54,156700,541,65536
316000,9832.8,265181.9,529176,242384,100.0000,99.7096,98.3543,93.8045,67.3766,0.1936,211450.39,391.38,157667,547,65536
318000,9895.7,267324.8,473612,242362,100.0000,99.2864,98.1651,93.6799,69.5209,0.1019,211097.77,395.36,158686,553,65536
320000,9957.3,258887.7,386348,242341,99.4970,98.7928,95.6740,90.0402,66.8008,0.0000,211174.43,397.51,159692,554,65536
322000,10021.7,264736.7,387128,242312,99.7140,99.2374,97.4261,92.7550,67.9695,0.0000,211284.91,394.36,160643,558,65536
324000,10085.0,263022.5,488792,242279,99.8991,99.2936,97.3764,92.0283,66.8012,0.1009,211132.66,393.22,161652,565,65536
326000,10148.4,264715.3,414848,242258,99.9022,99.2180,97.6540,92.0821,67.8397,0.0000,210854.31,396.60,162629,567,65536
328000,10210.5,262911.1,533484,242227,99.6842,98.9474,97.0526,91.2632,67.0526,0.2105,211233.61,392.72,163679,569,65536
330000,10273.0,262202.6,476328,242210,99.8024,99.2095,96.8379,91.8972,66.7984,0.0988,211470.35,389.99,164667,572,65536
332000,10335.8,263036.4,387432,242185,99.8993,99.7986,97.4824,92.1450,67.4723,0.0000,211729.02,391.08,165674,576,65536
334000,10399.0,266464.6,534172,242172,99.8049,98.8293,96.5854,92.0976,69.2683,0.0976,210683.86,392.31,166649,578,65536
336000,10461.3,264318.9,521664,242162,99.7965,99.1862,96.6429,91.1495,68.6673,0.1017,210766.30,394.27,167666,581,65536
338000,10523.3,265376.5,387368,242145,99.7895,98.9474,97.2632,92.3158,68.5263,0.0000,210953.38,393.80,168716,586,65536
340000,10585.7,261813.3,386948,242140,99.8018,99.1080,97.1259,90.4856,66.9970,0.0000,210834.46,397.76,169707,592,65536
342000,10650.0,269960.4,385896,242122,99.8039,99.2157,97.2549,91.9608,70.7843,0.0000,210395.35,389.73,170687,595,65536
344000,10712.5,264608.7,387356,242127,99.8014,99.1063,96.6236,90.6653,68.8183,0.0000,210600.35,394.83,171680,599,65536
346000,10773.4,262984.0,386812,242154,99.8043,99.5108,96.9667,91.9765,67.4168,0.0000,210994.98,394.70,172658,607,65536
348000,10833.5,259563.3,387212,242176,99.8987,99.3921,97.6697,92.2999,64.3364,0.0000,211162.89,395.81,173671,608,65536
350000,10894.1,261486.9,506732,242203,99.7024,98.9087,97.0238,90.8730,65.7738,0.2976,210952.92,393.19,174663,609,65536
352000,10954.6,264447.8,488336,242236,100.0000,99.6982,97.9879,92.5553,67.2032,0.1006,210858.78,388.32,175669,611,65536
354000,11018.1,261884.6,522364,242214,99.6098,99.5122,97.7561,92.0000,66.1463,0.0976,211026.96,398.44,176644,617,65536
356000,11080.6,263428.3,387288,242199,99.8990,98.9899,97.8788,92.1212,66.7677,0.0000,211045.40,391.71,177654,620,65536
358000,11142.1,263922.1,387208,242223,99.9026,99.2210,97.6631,92.0156,66.6018,0.0000,210639.29,391.93,178627,621,65536
360000,11202.4,258513.0,482028,242230,100.0000,99.1778,97.0195,91.0586,65.7760,0.1028,211465.11,395.45,179654,623,65536
362000,11263.7,266210.5,565464,242243,99.6936,99.1828,98.0592,93.1563,69.2543,0.1021,211134.40,392.79,180675,626,65536
