episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
162000,6913.6,273600.5,528556,243682,100.0000,99.6500,98.2000,94.1000,71.0500,0.1000,217609.17,395.98,0,0,0
164000,6997.9,268499.2,387064,243703,99.9000,99.4000,97.1500,93.0500,69.4500,0.0000,217961.87,397.64,0,0,0
166000,7082.1,266095.6,385640,243701,99.8500,99.3500,97.5000,92.8500,69.0000,0.0000,218526.88,399.09,0,0,0
168000,7167.7,270059.1,530064,243689,99.7500,99.1500,96.6500,92.2000,70.4500,0.1000,217364.09,401.53,0,0,0
170000,7253.1,270864.1,587592,243696,99.8500,99.1500,97.0000,92.1500,70.5500,0.2000,217261.09,401.64,0,0,0
172000,7338.1,268162.3,556480,243686,99.6500,99.0500,97.5000,92.7000,69.3000,0.1000,217973.76,400.39,0,0,0
174000,7424.5,272333.6,387284,243674,99.8500,99.4000,97.9000,93.9500,70.6500,0.0000,218036.33,393.10,0,0,0
176000,7510.1,269924.2,580420,243662,99.9500,99.2000,97.5000,92.9000,70.0500,0.1000,217725.91,397.36,0,0,0
178000,7596.0,272982.9,528140,243672,99.7500,99.3500,97.7500,93.3000,70.6500,0.1000,217477.07,395.65,0,0,0
180000,7681.3,269502.5,558228,243669,99.7500,99.4500,97.2000,92.8000,69.7000,0.0500,217792.70,400.43,0,0,0
182000,7767.5,273882.5,387224,243679,99.8000,98.9000,97.3000,94.1000,71.6000,0.0000,217421.03,401.43,0,0,0
184000,7852.6,268417.3,555476,243674,99.9000,99.4000,97.7500,92.4000,68.7500,0.1000,218098.99,397.90,0,0,0
186000,7938.7,273203.8,522064,243679,99.9000,99.5000,97.9500,93.8000,71.5000,0.0500,217580.51,401.06,0,0,0
188000,8024.6,270862.6,559812,243668,99.8500,99.2000,97.8000,93.7500,70.0000,0.0500,218127.28,396.27,0,0,0
190000,8109.7,270990.5,488152,243682,99.6500,99.4000,97.8000,93.7000,69.9500,0.1000,217801.61,400.46,0,0,0
192000,8196.5,271866.8,492332,243656,99.8500,99.0500,97.6500,93.1000,70.9000,0.1000,217564.71,403.46,0,0,0
194000,8281.8,268837.5,519852,243643,99.7000,99.1000,97.3500,91.6500,69.8000,0.2000,217727.49,401.36,0,0,0
196000,8366.3,269187.2,386996,243661,99.7500,99.2000,97.1500,91.9500,70.0500,0.0000,218090.58,395.88,0,0,0
