episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
192000,3624.3,235914.6,387452,487468,99.5000,98.6500,96.1500,88.1000,55.1000,0.0000,179631.48,400.55
194000,3662.4,239273.9,557480,487492,99.5500,98.7500,96.0500,89.0000,55.5000,0.0500,179437.40,399.26
196000,3699.7,237022.1,410972,487574,99.2500,98.5500,95.7000,88.4500,55.4500,0.0000,179753.68,396.79
198000,3736.4,237193.5,536328,487739,99.5500,98.7500,95.5500,88.1500,54.9500,0.0500,179366.15,401.37
200000,3773.6,237682.2,389068,487842,99.4000,98.7500,96.4000,88.7500,55.4000,0.0000,179683.46,399.08
202000,3811.0,235933.6,420388,487885,99.7000,99.0500,95.4000,87.6000,54.1000,0.0000,179589.18,398.92
204000,3849.6,236369.4,386772,487792,99.3000,98.2000,95.7000,88.9500,54.8000,0.0000,179702.45,401.38
206000,3888.1,239075.4,514812,487746,99.6500,99.0000,96.6500,88.4500,55.6500,0.0500,179704.02,398.24
208000,3926.1,239527.2,387292,487782,99.8000,99.0500,96.9500,89.8000,55.8000,0.0000,179650.60,402.47
210000,3962.7,236244.4,533344,487933,99.6000,99.0000,96.0000,88.0000,55.1000,0.0500,180014.79,399.46
212000,3998.4,235892.7,387400,488190,99.5000,98.6500,96.2500,89.1000,54.3000,0.0000,180223.75,399.82
214000,4036.9,237855.1,469456,488129,99.8000,98.7500,96.1500,89.5500,54.4000,0.0500,179711.95,402.53
216000,4075.8,239250.1,387024,488048,99.8000,98.9000,96.1000,88.8000,55.3500,0.0000,179663.59,399.40
218000,4114.1,237521.9,387040,488004,99.7500,98.8000,96.6000,88.4500,55.6000,0.0000,179908.29,400.99
220000,4152.7,238661.4,398340,487958,99.8000,98.8000,96.2500,89.0500,55.6000,0.0000,179870.16,401.84
222000,4189.7,235159.2,578452,488032,99.5000,98.6000,95.3000,87.4500,54.0500,0.0500,180036.81,401.22
224000,4226.9,235741.4,387000,488090,99.5000,98.7500,95.8000,88.2000,54.8500,0.0000,180209.98,399.66
226000,4265.1,241033.8,387340,488117,99.6500,99.0500,96.5500,89.8500,57.0000,0.0000,180000.19,400.27
228000,4303.8,237999.6,386992,488040,99.8500,98.9500,95.9000,88.9500,55.1000,0.0000,180218.10,400.07
230000,4341.4,241361.8,387244,488154,99.7000,99.1000,96.4500,90.0000,56.2500,0.0000,180019.24,398.83
232000,4377.2,234476.5,503628,488338,99.7000,98.9000,96.0000,88.5500,53.7000,0.0500,180521.49,401.20
234000,4413.9,240376.2,388224,488523,99.7500,98.9000,96.3500,90.0000,56.1000,0.0000,180285.25,398.15
236000,4450.3,237501.0,386792,488691,99.7000,98.7500,96.4500,88.3000,55.0000,0.0000,180229.85,401.10
238000,4486.1,237890.0,391592,488934,99.7000,99.0000,96.8000,90.2000,55.2000,0.0000,180763.69,395.92
240000,4522.3,238183.6,508188,489129,99.4500,98.7000,96.2500,89.3500,54.9500,0.0500,180436.07,398.17
242000,4557.9,237280.6,411156,489368,99.6000,98.7000,95.9500,89.2000,55.1000,0.0000,180628.10,400.59
244000,4593.8,238426.1,387204,489586,99.5500,98.9500,96.0000,87.6500,56.2500,0.0000,180461.46,399.06
246000,4629.9,236626.3,573484,489751,99.6500,98.7000,95.6500,88.3000,54.6000,0.0500,180564.27,400.69
248000,4666.3,236331.9,553764,489894,99.7000,98.6500,95.7000,88.4000,54.5500,0.0500,180465.26,401.00
250000,4701.5,232991.2,397848,490092,99.7000,98.7500,95.9500,88.4000,52.8000,0.0000,181087.27,397.06
252000,4737.3,241379.1,386952,490362,99.6000,98.5500,96.6000,89.3500,55.8500,0.0000,180207.77,399.49
254000,4775.5,239912.2,409620,490361,99.8000,99.1500,96.1500,89.0000,55.8500,0.0000,180459.97,398.16
256000,4813.3,240347.7,511516,490401,99.6500,98.8500,96.3000,89.1500,56.0500,0.1000,180651.41,399.00
258000,4850.7,236707.4,386856,490432,99.7500,98.8500,96.4500,88.4500,55.0500,0.0000,180722.88,403.72
260000,4889.0,239675.4,410632,490408,99.6500,98.9500,95.8000,89.1000,55.9500,0.0000,180695.40,398.14
262000,4926.7,241092.1,447988,490466,99.7000,98.8500,96.5000,90.2000,55.4000,0.0000,180696.52,398.87
264000,4964.2,239279.9,531332,490522,99.6000,98.7500,96.2000,87.3500,56.2500,0.1000,180493.16,399.75
266000,5001.9,238004.5,387216,490541,99.7500,98.9500,95.9500,89.2500,54.6000,0.0000,180893.73,400.68
268000,5038.9,238965.1,576748,490632,99.8500,99.1500,96.4500,88.9000,55.7500,0.0500,180797.51,400.66
270000,5077.2,235102.4,500780,490552,99.1500,98.1000,95.5000,88.6000,53.9500,0.0500,181283.81,400.53
272000,5115.5,238981.6,527840,490522,99.6500,98.9000,96.2000,88.4500,55.4500,0.0500,181058.34,397.12
274000,5153.7,242069.6,387064,490543,99.9000,99.2000,96.0500,89.0500,57.6000,0.0000,180810.80,397.04
276000,5192.0,236063.6,469300,490471,99.6000,99.1500,96.3500,88.7500,53.7000,0.0500,181230.36,399.24
278000,5229.9,235242.1,387220,490432,99.6500,98.9000,95.2500,87.7000,53.8500,0.0000,181048.04,402.44
280000,5267.1,237052.0,525812,490478,99.7500,98.6500,95.6000,87.9000,54.9000,0.0500,181100.12,399.08
282000,5303.9,240449.2,488592,490614,99.7000,98.9000,96.0000,89.1500,56.4000,0.0500,181056.56,397.02
284000,5340.9,238127.3,528796,490690,99.8000,98.6000,95.9000,88.8000,55.5000,0.1000,181261.27,400.97
286000,5379.0,240648.4,477972,490698,99.7500,98.7500,95.5000,88.7000,57.0500,0.0500,181059.79,398.96
288000,5417.5,241871.9,531052,490684,99.7000,99.0000,96.9500,88.9500,56.9000,0.1500,180765.27,404.24
290000,5455.2,237011.3,565788,490685,99.7500,98.6000,96.6500,88.6500,54.1500,0.0500,181395.19,402.69
292000,5492.8,236887.0,524268,490690,99.6000,98.9500,96.3000,87.9500,55.5500,0.0500,181699.22,399.02
294000,5532.1,240323.2,408984,490593,99.6500,99.1500,96.5500,89.5500,55.7500,0.0000,181304.48,397.83
296000,5570.2,241596.3,500764,490624,99.7000,98.4500,96.6000,90.2000,55.9000,0.0500,181453.71,396.02
298000,5606.3,238320.5,532736,490780,99.8500,98.8000,96.5000,89.2500,55.0000,0.0500,181503.93,399.50
300000,5642.9,241591.3,524368,490929,99.9500,99.2500,97.1500,90.4500,56.5500,0.0500,181551.72,397.11
302000,5678.9,238368.1,387120,491094,99.8500,99.2500,97.1500,88.4000,55.6000,0.0000,181632.16,399.64
304000,5715.1,239177.8,387444,491243,99.8500,99.1000,96.5000,88.5500,56.0000,0.0000,181521.58,401.61
306000,5751.4,238571.6,487304,491378,99.7000,98.8500,96.2500,88.4500,55.3500,0.0500,181671.48,398.72
308000,5787.4,240893.3,386848,491562,99.8500,98.9000,96.5500,89.7000,57.0000,0.0000,181627.61,401.37
