episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
146000,749.3,66528.5,168956,444887,99.5000,93.6000,62.4000,8.0500,0.0000,0.0000,25879.73,213.04,0,0,0
148000,763.2,66976.7,173240,444989,99.4000,93.4500,63.9000,8.0000,0.0000,0.0000,26183.22,213.90,0,0,0
150000,777.2,67998.1,176628,445135,99.8000,94.0000,63.2500,10.0000,0.0000,0.0000,26431.38,214.19,0,0,0
152000,791.2,67585.0,174016,445235,99.5000,93.4000,64.8000,8.3500,0.0000,0.0000,26664.92,214.90,0,0,0
154000,805.4,68542.7,177948,445307,99.6000,93.1500,64.5000,8.8500,0.0000,0.0000,26857.94,215.39,0,0,0
156000,819.6,69359.4,178380,445518,99.3000,94.0000,65.7500,9.8000,0.0000,0.0000,27082.83,217.05,0,0,0
158000,834.0,68252.9,226396,445406,99.6500,93.6500,63.6500,9.7500,0.0500,0.0000,27352.45,219.15,0,0,0
160000,848.5,70698.4,178680,445583,99.4500,95.4500,66.9500,10.2500,0.0000,0.0000,27556.84,218.81,0,0,0
162000,862.9,69094.8,176180,445584,99.3500,94.2000,65.4000,9.8500,0.0000,0.0000,27893.08,218.06,0,0,0
164000,878.1,70637.2,179036,445352,99.4500,94.6500,66.8500,9.6000,0.0000,0.0000,28102.27,218.10,0,0,0
166000,892.8,70071.9,179064,445300,99.5000,94.7500,65.6500,9.5000,0.0000,0.0000,28378.67,217.82,0,0,0
168000,907.7,71299.4,178668,445310,99.7500,95.2000,67.5500,11.1500,0.0000,0.0000,28548.78,219.95,0,0,0
170000,922.5,71432.0,177480,445327,99.7000,95.0500,66.0000,10.5000,0.0000,0.0000,28790.83,219.26,0,0,0
172000,937.5,71294.1,199132,445290,99.4500,94.9500,66.3000,11.3000,0.0000,0.0000,29057.58,219.74,0,0,0
174000,952.4,71164.6,227728,445261,99.4000,93.6000,66.2500,10.6500,0.0500,0.0000,29330.11,220.67,0,0,0
176000,967.2,70902.9,188500,445243,99.6000,94.5500,66.7000,9.7500,0.0000,0.0000,29621.05,220.52,0,0,0
178000,982.4,73109.7,173656,445223,99.6500,94.5000,70.0500,11.8500,0.0000,0.0000,29840.13,220.42,0,0,0
180000,997.6,71396.5,177748,445074,99.6500,94.5500,67.5500,10.3500,0.0000,0.0000,30141.04,220.58,0,0,0
