score,max_tile,moves
371932,16384,14056
342072,16384,12942
381932,16384,14585
290416,16384,11175
271316,16384,10305
176724,8192,7424
376636,16384,14341
287028,16384,10955
249508,16384,9515
288032,16384,11020
290300,16384,11134
332536,16384,12508
327400,16384,12183
176392,8192,7373
338716,16384,12805
332652,16384,12504
342780,16384,12989
290308,16384,11195
269680,16384,10203
313012,16384,11566
366952,16384,13913
318932,16384,11876
164380,8192,6802
344880,16384,13115
358020,16384,13489
117560,8192,4747
290108,16384,11140
290784,16384,11249
173992,8192,7289
133508,8192,5622
172604,8192,7183
277700,16384,10528
173288,8192,7226
361244,16384,13579
273676,16384,10439
355516,16384,13374
290344,16384,11149
173748,8192,7268
336548,16384,12646
342560,16384,12978
283944,16384,10763
380732,16384,14473
171860,8192,7141
104520,8192,4225
363116,16384,13711
341192,16384,12908
167500,8192,6948
334052,16384,12596
173288,8192,7225
175940,8192,7375
365456,16384,13864
331844,16384,12479
382264,16384,14601
367184,16384,13972
340884,16384,12903
380836,16384,14490
173540,8192,7257
367092,16384,13995
177040,8192,7443
343076,16384,13059
242448,16384,9151
323120,16384,12154
356296,16384,13368
314448,16384,11731
217840,16384,7975
363040,16384,13715
173240,8192,7213
313932,16384,11647
356628,16384,13365
288704,16384,11024
337544,16384,12749
365240,16384,13837
289916,16384,11144
12780,1024,758
132952,8192,5595
362772,16384,13684
346768,16384,13151
287952,16384,10992
338344,16384,12756
248772,16384,9377
342924,16384,13027
286452,16384,10945
382264,16384,14603
335272,16384,12574
338028,16384,12726
26136,2048,1346
113184,8192,4691
334776,16384,12648
342796,16384,13010
303900,16384,11656
285912,16384,10885
282400,16384,10758
168356,8192,7000
129240,8192,5377
343096,16384,13053
172468,8192,7139
260580,16384,9717
270300,16384,10242
364556,16384,13811
365364,16384,13836
342888,16384,13033
329320,16384,12314
177272,8192,7452
225536,16384,8379
355812,16384,13352
381300,16384,14542
334824,16384,12619
361420,16384,13678
112820,8192,4680
289780,16384,11149
80764,4096,3758
319228,16384,11950
149208,8192,6113
334020,16384,12583
337552,16384,12724
378076,16384,14408
281304,16384,10694
156592,8192,6507
36296,2048,1890
378280,16384,14441
175592,8192,7336
365608,16384,13884
357852,16384,13474
290796,16384,11209
356452,16384,13380
356272,16384,13355
157268,8192,6528
339168,16384,12872
363168,16384,13749
353296,16384,13243
287632,16384,10965
374336,16384,14207
80420,4096,3711
378156,16384,14410
289536,16384,11126
11344,1024,688
157212,8192,6518
167860,8192,6936
146068,8192,5906
314528,16384,11682
270236,16384,10255
328680,16384,12314
352620,16384,13444
385464,16384,14782
331428,16384,12376
338016,16384,12823
132904,8192,5556
67520,4096,3047
366492,16384,13930
374564,16384,14188
137708,8192,5804
322312,16384,12078
289704,16384,11112
338128,16384,12711
80248,4096,3725
354952,16384,13341
172920,8192,7228
285172,16384,10861
382624,16384,14599
171672,8192,7121
341524,16384,12933
281564,16384,10742
245980,16384,9283
337104,16384,12656
289988,16384,11148
276628,16384,10512
333484,16384,12555
376216,16384,14304
375468,16384,14232
235640,16384,8765
227984,16384,8549
363260,16384,13774
334692,16384,12626
286256,16384,10940
156756,8192,6486
342960,16384,13034
363984,16384,13811
356608,16384,13435
342536,16384,12996
317772,16384,11898
375324,16384,14200
267744,16384,10079
323852,16384,12167
290184,16384,11120
340668,16384,12907
339060,16384,12833
333768,16384,12542
383236,16384,14695
383000,16384,14612
221552,16384,8088
382048,16384,14536
362664,16384,13716
269516,16384,10163
341772,16384,12929
284404,16384,10800
357424,16384,13447
177140,8192,7430
177164,8192,7442
287120,16384,11010
326460,16384,12349
290492,16384,11181
380652,16384,14455
245408,16384,9246
242540,16384,9142
177156,8192,7441
330208,16384,12371
164172,8192,6743
333144,16384,12501
386432,16384,14830
342584,16384,12984
380560,16384,14490
384692,16384,14715
322944,16384,12115
338152,16384,12736
386064,16384,14770
173444,8192,7264
382340,16384,14610
340372,16384,12896
130412,8192,5410
250056,16384,9526
380840,16384,14517
177052,8192,7435
355792,16384,13343
285408,16384,10883
334800,16384,12655
337176,16384,12673
337460,16384,12700
333124,16384,12511
385380,16384,14748
373560,16384,14154
353680,16384,13252
352196,16384,13083
357140,16384,13420
370444,16384,14145
224060,16384,8281
157456,8192,6548
358324,16384,13544
333316,16384,12560
342996,16384,13044
282352,16384,10779
342976,16384,13051
345068,16384,13114
77460,4096,3546
133024,8192,5607
336744,16384,12631
331684,16384,12437
363408,16384,13759
327016,16384,12376
237356,16384,8843
375996,16384,14239
378172,16384,14409
342392,16384,12994
333832,16384,12540
175564,8192,7329
176636,8192,7378
175536,8192,7340
342960,16384,13033
176644,8192,7424
342812,16384,13046
354396,16384,13319
338960,16384,12829
171348,8192,7183
180532,8192,7628
381756,16384,14605
145868,8192,5951
314376,16384,11740
129172,8192,5392
331264,16384,12371
180352,8192,7603
20188,1024,1190
340596,16384,12876
333864,16384,12553
284788,16384,10856
275680,16384,10369
285944,16384,10911
175256,8192,7314
337464,16384,12732
286472,16384,10945
289484,16384,11106
295684,16384,11261
175668,8192,7371
382764,16384,14586
128220,8192,5299
263344,16384,9916
177208,8192,7432
120652,8192,4977
144300,8192,5858
288744,16384,11067
340740,16384,12911
172992,8192,7198
176428,8192,7370
171592,8192,7118
364604,16384,13775
355064,16384,13352
332124,16384,12439
284136,16384,10794
354704,16384,13354
384744,16384,14730
270196,16384,10221
281400,16384,10700
366168,16384,13863
180204,8192,7610
322900,16384,12116
320536,16384,11982
362860,16384,13743
344692,16384,13144
291632,16384,11206
174804,8192,7306
288244,16384,11051
337068,16384,12696
337856,16384,12715
19164,1024,1118
340936,16384,12899
120572,8192,4954
156344,8192,6458
353260,16384,13244
262140,16384,9838
363284,16384,13753
331892,16384,12424
336748,16384,12650
326724,16384,12303
360580,16384,13561
334040,16384,12549
332060,16384,12423
384624,16384,14743
239220,16384,8972
288056,16384,11018
334596,16384,12612
172220,8192,7162
312392,16384,11601
351728,16384,13370
175736,8192,7372
332252,16384,12488
177012,8192,7451
330244,16384,12379
381456,16384,14531
353132,16384,13434
372256,16384,14051
176488,8192,7380
333764,16384,12523
289556,16384,11072
362784,16384,13682
177184,8192,7448
259656,16384,9678
263416,16384,9870
167504,8192,6915
322164,16384,12057
333692,16384,12528
238728,16384,8931
289256,16384,11060
330260,16384,12356
255312,16384,9811
243976,16384,9218
129728,8192,5424
288764,16384,11082
372296,16384,14094
225092,16384,8321
